DMU;CountryYear;Country code;Country;Bank;ID;Foreign;Government;Bank code;Listed;Type;Islamic;year;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;STMC;STMR;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;IIILargeAssets;VLargeAssets;HHIAssets  ;IIILargeLoans;VLargeLoans;HHILoans;IIILargeDeposits;VLargeDeposits;HHIDeposits;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Albaraka of Algeria-Banque Al Baraka d'Algerie/2005;Algeria/2005;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2005;1;0;1;0;CB;0;2005;0,408;0,403;0,371;299,073;46,304;0,082;10,085;374,105;;6,018;374,105;0,205;24,046;;;4,872;0,955;9,266;4,394;0,016;0,213;564,889;6,337;49,008;392,583;432,882;14,520;9,266;0,955;18,478;73,276;1000,00;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,838;11,371;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,016;1962;43;1;0,062;0,028
Albaraka of Algeria-Banque Al Baraka d'Algerie/2006;Algeria/2006;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2006;1;0;1;0;CB;0;2006;0,341;0,335;0,404;380,169;66,514;0,105;14,220;409,090;;4,708;409,090;0,303;31,399;;;8,411;6,676;15,390;6,979;0,024;0,251;632,789;6,450;53,436;430,880;503,671;17,275;15,390;6,676;21,790;72,647;1000,00;0,020;3508,909;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,010;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,838;14,881;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,012;1962;44;1;0,062;0,028
Albaraka of Algeria-Banque Al Baraka d'Algerie/2007;Algeria/2007;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2007;1;0;1;0;CB;0;2007;0,532;0,498;0,349;643,649;86,517;0,107;14,446;544,042;;7,173;544,042;6,004;34,838;;;9,135;14,432;17,174;8,038;0,026;0,244;811,720;6,699;65,548;556,713;643,678;16,423;17,174;14,432;12,671;69,292;1000,00;0,030;4005,224;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,009;0,069;0,922;0,010;0,105;0,885;0,005;0,064;0,931;0,838;15,311;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,013;1962;45;1;0,077;0,029
Albaraka of Algeria-Banque Al Baraka d'Algerie/2008;Algeria/2008;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2008;1;0;1;0;CB;0;2008;0,505;0,505;0,307;854,748;138,566;0,124;32,919;799,129;;3,097;799,129;7,788;53,714;;;12,712;25,146;24,217;11,505;0,042;0,358;1118,781;7,020;86,189;823,315;854,748;23,660;24,217;25,146;24,186;64,583;1000,00;0,024;4966,572;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,838;19,131;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,004;1962;46;1;0,077;0,029
Albaraka of Algeria-Banque Al Baraka d'Algerie/2009;Algeria/2009;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2009;1;0;1;0;CB;0;2009;0,464;0,464;0,348;1053,775;215,052;0,158;30,545;818,487;;3,483;818,487;3,730;64,490;;;13,627;18,376;28,824;15,197;0,033;0,232;1360,626;7,216;136,328;831,908;1053,775;26,223;28,824;18,376;13,421;72,647;1000,00;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,838;22,132;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,004;1962;47;1;0,077;0,051
Albaraka of Algeria-Banque Al Baraka d'Algerie/2010;Algeria/2010;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2010;1;0;1;0;CB;0;2010;0,457;0,450;0,242;1209,610;246,915;0,152;31,189;748,649;;13,322;748,649;1,183;72,863;;;23,539;24,480;23,539;;0,030;0,191;1620,050;7,390;163,307;753,865;1209,610;17,167;23,539;24,480;5,216;74,386;1000,00;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,838;21,035;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,018;1962;48;1;0,077;0,051
Arab Banking Corporation - Algeria/2005;Algeria/2005;1;Algeria;Arab Banking Corporation - Algeria;AlgeriaArab Banking Corporation - Algeria2005;1;0;2;0;CB;0;2005;1,000;0,630;0,076;245,135;45,506;0,106;8,123;88,011;;2,426;88,011;8,147;10,241;4;;1,396;8,147;1,396;;0,020;0,179;430,004;6,064;54648,400;232,681;245,135;0,800;1,396;8,147;144,670;73,276;1,00;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,838;6,298;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,028;1962;43;1;0,062;0,028
Arab Banking Corporation - Algeria/2006;Algeria/2006;1;Algeria;Arab Banking Corporation - Algeria;AlgeriaArab Banking Corporation - Algeria2006;1;0;2;0;CB;0;2006;1,000;0,705;0,051;237,213;37,227;0,091;5,269;101,076;;28,129;101,076;10,408;13,183;4;221;1,214;10,408;1,214;;-0,021;-0,209;409,634;6,015;52372,500;287,423;237,213;1,660;1,214;10,408;186,347;72,647;1,00;0,020;3508,909;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,010;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,838;3,528;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,278;1962;44;1;0,062;0,028
Arab Banking Corporation - Algeria/2007;Algeria/2007;1;Algeria;Arab Banking Corporation - Algeria;AlgeriaArab Banking Corporation - Algeria2007;1;0;2;0;CB;0;2007;1,000;1,000;0,057;342,247;62,701;0,119;12,059;185,205;;5,804;185,205;9,528;16,361;9;280;1,478;9,528;1,478;;0,030;0,287;527,059;6,267;56331,600;382,563;342,247;1,117;1,478;9,528;197,358;69,292;1,00;0,030;4005,224;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,009;0,069;0,922;0,010;0,105;0,885;0,005;0,064;0,931;0,838;7,499;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,031;1962;45;1;0,077;0,029
Arab Banking Corporation - Algeria/2008;Algeria/2008;1;Algeria;Arab Banking Corporation - Algeria;AlgeriaArab Banking Corporation - Algeria2008;1;0;2;0;CB;0;2008;0,325;0,252;0,528;298,950;77,456;0,147;12,878;179,190;;-0,921;179,190;7,967;19,480;;331;8,817;8,877;14,961;6,144;0,018;0,138;526,515;6,266;43546,900;351,837;336,579;1,531;14,961;8,877;172,647;64,583;1,00;0,024;4966,572;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,838;8,299;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;-0,005;1962;46;1;0,077;0,029
BADR/2007;Algeria/2007;1;Algeria;BADR;AlgeriaBADR2007;0;1;3;0;CB;0;2007;0,536;0,536;0,498;7460,088;257,281;0,030;235,310;3852,672;;214,905;3852,672;21,246;242,563;;;63,307;21,246;131,348;68,041;-0,013;-0,221;8539,711;9,052;1111290,800;5908,352;7507,591;69,612;131,348;21,246;2055,680;69,292;1,00;0,030;4005,224;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,009;0,069;0,922;0,010;0,105;0,885;0,005;0,064;0,931;0,843;1,562;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,056;1962;45;1;0,077;0,029
BADR/2008;Algeria/2008;1;Algeria;BADR;AlgeriaBADR2008;0;1;3;0;CB;0;2008;0,471;0,471;0,369;10009,874;465,935;0,039;239,873;4290,974;;-377,407;4290,974;44,538;318,274;;;58,788;76,130;145,471;86,683;0,006;0,177;11892,902;9,384;901465,700;9022,588;10566,050;92,167;145,471;76,130;4731,614;64,583;1,00;0,024;4966,572;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,843;4,113;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;-0,088;1962;46;1;0,077;0,029
BADR/2009;Algeria/2009;1;Algeria;BADR;AlgeriaBADR2009;0;1;3;0;CB;0;2009;0,506;0,502;0,618;9723,684;433,326;0,038;204,952;4256,786;;-4,602;4256,786;32,797;177,302;;;59,540;66,045;150,345;90,806;0,002;0,040;11406,136;9,342;966994,100;8116,883;10206,708;90,795;150,345;66,045;3860,097;72,647;1,00;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,843;3,580;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;-0,001;1962;47;1;0,077;0,051
BADR/2010;Algeria/2010;1;Algeria;BADR;AlgeriaBADR2010;0;1;3;0;CB;0;2010;0,425;0,416;0,748;9370,460;566,082;0,052;186,069;3416,911;;-77,891;3416,911;51,417;143,016;;;186,187;106,011;186,187;;0,013;0,295;10906,907;9,297;990100,000;8566,920;9802,144;81,657;186,187;106,011;5150,009;74,386;1,00;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,843;5,897;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;-0,023;1962;48;1;0,077;0,051
Banque de Développement Local/2005;Algeria/2005;1;Algeria;Banque de Développement Local;AlgeriaBanque de Développement Local2005;0;1;4;0;CB;0;2005;0,397;0,331;1,222;1876,527;75,427;0,027;40,231;981,586;;-45,595;981,586;25,506;35,619;145;4176;75,454;51,190;106,037;30,583;0,001;0,025;2799,240;7,937;234,571;2107,666;1950,221;41,159;106,037;51,190;1126,080;73,276;1000,00;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,843;15,133;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;-0,046;1962;43;1;0,062;0,028
Banque de Développement Local/2006;Algeria/2006;1;Algeria;Banque de Développement Local;AlgeriaBanque de Développement Local2006;0;1;4;0;CB;0;2006;0,438;0,376;0,722;2109,045;81,656;0,026;42,053;1137,589;;20,318;1137,589;26,209;48,715;;;77,292;103,418;109,806;32,514;0,001;0,041;3090,054;8,036;224,482;2029,152;2183,378;37,648;109,806;103,418;891,563;72,647;1000,00;0,020;3508,909;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,010;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,843;15,073;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,018;1962;44;1;0,062;0,028
Banque de Développement Local/2007;Algeria/2007;1;Algeria;Banque de Développement Local;AlgeriaBanque de Développement Local2007;0;1;4;0;CB;0;2007;0,398;0,386;0,621;2474,875;216,257;0,058;159,339;1358,591;;37,464;1358,591;32,486;25,573;;;49,803;108,540;83,328;33,525;0,002;0,048;3725,185;8,223;258,127;2758,542;2552,805;69,531;83,328;108,540;1399,952;69,292;1000,00;0,030;4005,224;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,009;0,069;0,922;0,010;0,105;0,885;0,005;0,064;0,931;0,843;32,980;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,028;1962;45;1;0,077;0,029
Banque de Développement Local/2008;Algeria/2008;1;Algeria;Banque de Développement Local;AlgeriaBanque de Développement Local2008;0;1;4;0;CB;0;2008;0,503;0,475;0,626;3079,721;413,887;0,087;167,150;1707,529;;33,817;1707,529;41,033;88,723;;;38,679;42,581;82,220;43,541;0,003;0,038;4770,217;8,470;308,074;3602,786;3163,335;41,389;82,220;42,581;1895,257;64,583;1000,00;0,024;4966,572;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,843;49,128;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,020;1962;46;1;0,077;0,029
Banque de Développement Local/2009;Algeria/2009;1;Algeria;Banque de Développement Local;AlgeriaBanque de Développement Local2009;0;1;4;0;CB;0;2009;0,457;0,446;0,697;3202,151;428,962;0,089;145,938;1848,875;;27,599;1848,875;46,843;91,951;;;104,298;118,366;146,502;42,204;0,006;0,066;4818,465;8,480;350,049;3747,786;3276,483;44,007;146,502;118,366;1898,911;72,647;1000,00;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,843;51,967;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,015;1962;47;1;0,077;0,051
